Title,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%
95,40,159,69,1,23,101,144,4,0.645,0.874,0.932,0.014,0.404,0.935,0.935,0.098
96,11,4,1,61,32,0,0,17,0.177,0.022,0.014,0.836,0.561,0.0,0.0,0.415
97,17,17,3,61,36,3,0,3,0.274,0.093,0.041,0.836,0.632,0.028,0.0,0.073
98,0,5,68,0,14,14,3,32,0.0,0.027,0.919,0.0,0.246,0.13,0.019,0.78
99,41,158,66,1,16,106,139,24,0.661,0.868,0.892,0.014,0.281,0.981,0.903,0.585
100,14,6,4,43,33,1,14,6,0.226,0.033,0.054,0.589,0.579,0.009,0.091,0.146
101,40,158,71,0,24,107,145,3,0.645,0.868,0.959,0.0,0.421,0.991,0.942,0.073
102,17,4,0,59,28,1,0,4,0.274,0.022,0.0,0.808,0.491,0.009,0.0,0.098
103,0,0,64,0,7,1,3,32,0.0,0.0,0.865,0.0,0.123,0.009,0.019,0.78
104,0,8,17,44,18,2,13,29,0.0,0.044,0.23,0.603,0.316,0.019,0.084,0.707
105,5,7,35,44,38,4,135,31,0.081,0.038,0.473,0.603,0.667,0.037,0.877,0.756
106,0,22,69,18,16,98,144,30,0.0,0.121,0.932,0.247,0.281,0.907,0.935,0.732
107,0,2,69,0,14,6,21,28,0.0,0.011,0.932,0.0,0.246,0.056,0.136,0.683
108,2,153,70,0,25,99,146,33,0.032,0.841,0.946,0.0,0.439,0.917,0.948,0.805
109,4,5,65,0,28,3,8,31,0.065,0.027,0.878,0.0,0.491,0.028,0.052,0.756
110,0,2,68,18,17,6,12,31,0.0,0.011,0.919,0.247,0.298,0.056,0.078,0.756
111,15,5,5,60,38,1,0,2,0.242,0.027,0.068,0.822,0.667,0.009,0.0,0.049
112,0,3,70,20,18,3,12,33,0.0,0.016,0.946,0.274,0.316,0.028,0.078,0.805
113,4,6,69,0,13,8,137,27,0.065,0.033,0.932,0.0,0.228,0.074,0.89,0.659
114,0,3,67,1,15,4,33,30,0.0,0.016,0.905,0.014,0.263,0.037,0.214,0.732
115,1,27,71,18,16,21,136,31,0.016,0.148,0.959,0.247,0.281,0.194,0.883,0.756
116,1,10,67,0,16,3,11,30,0.016,0.055,0.905,0.0,0.281,0.028,0.071,0.732
117,0,0,13,1,5,1,19,32,0.0,0.0,0.176,0.014,0.088,0.009,0.123,0.78
118,2,3,64,0,11,4,30,31,0.032,0.016,0.865,0.0,0.193,0.037,0.195,0.756
119,37,21,68,0,15,5,32,30,0.597,0.115,0.919,0.0,0.263,0.046,0.208,0.732
120,2,17,68,18,15,3,23,30,0.032,0.093,0.919,0.247,0.263,0.028,0.149,0.732
121,9,30,68,0,17,7,54,31,0.145,0.165,0.919,0.0,0.298,0.065,0.351,0.756
122,6,6,70,0,12,2,3,33,0.097,0.033,0.946,0.0,0.211,0.019,0.019,0.805
