Title,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%
80,0.0,0.0,0.0,44.0,12.0,8.0,21.0,21.0,0.0,0.0,0.0,0.595,0.211,0.074,0.136,0.512
81,2.0,15.0,4.0,36.0,17.0,6.0,9.0,20.0,0.032,0.205,0.022,0.486,0.298,0.056,0.058,0.488
82,24.0,39.0,109.0,1.0,19.0,7.0,6.0,0.0,0.387,0.534,0.599,0.014,0.333,0.065,0.039,0.0
83,36.0,34.0,139.0,58.0,24.0,77.0,119.0,29.0,0.581,0.466,0.764,0.784,0.421,0.713,0.773,0.707
84,48.0,52.0,144.0,61.0,30.0,85.0,124.0,30.0,0.774,0.712,0.791,0.824,0.526,0.787,0.805,0.732
85,44.0,15.0,147.0,64.0,25.0,90.0,126.0,32.0,0.71,0.205,0.808,0.865,0.439,0.833,0.818,0.78
86,50.0,50.0,147.0,66.0,51.0,92.0,131.0,31.0,0.806,0.685,0.808,0.892,0.895,0.852,0.851,0.756
87,38.0,1.0,150.0,65.0,23.0,85.0,128.0,25.0,0.613,0.014,0.824,0.878,0.404,0.787,0.831,0.61
88,42.0,0.0,151.0,67.0,24.0,97.0,135.0,34.0,0.677,0.0,0.83,0.905,0.421,0.898,0.877,0.829
89,42.0,0.0,152.0,68.0,24.0,93.0,136.0,35.0,0.677,0.0,0.835,0.919,0.421,0.861,0.883,0.854
90,0.0,18.0,12.0,6.0,14.0,4.0,6.0,36.0,0.0,0.247,0.066,0.081,0.246,0.037,0.039,0.878
91,39.0,0.0,152.0,66.0,23.0,105.0,129.0,33.0,0.629,0.0,0.835,0.892,0.404,0.972,0.838,0.805
92,11.0,61.0,3.0,0.0,29.0,0.0,0.0,4.0,0.177,0.836,0.016,0.0,0.509,0.0,0.0,0.098
93,7.0,52.0,4.0,1.0,28.0,0.0,0.0,27.0,0.113,0.712,0.022,0.014,0.491,0.0,0.0,0.659
94,39.0,0.0,155.0,67.0,13.0,107.0,141.0,23.0,0.629,0.0,0.852,0.905,0.228,0.991,0.916,0.561
95,40.0,1.0,159.0,69.0,23.0,101.0,144.0,4.0,0.645,0.014,0.874,0.932,0.404,0.935,0.935,0.098
96,11.0,61.0,4.0,1.0,32.0,0.0,0.0,19.0,0.177,0.836,0.022,0.014,0.561,0.0,0.0,0.463
97,17.0,61.0,17.0,3.0,36.0,3.0,0.0,5.0,0.274,0.836,0.093,0.041,0.632,0.028,0.0,0.122
98,0.0,0.0,5.0,68.0,14.0,14.0,3.0,34.0,0.0,0.0,0.027,0.919,0.246,0.13,0.019,0.829
99,41.0,1.0,158.0,66.0,16.0,106.0,139.0,24.0,0.661,0.014,0.868,0.892,0.281,0.981,0.903,0.585
100,14.0,43.0,6.0,4.0,33.0,1.0,14.0,8.0,0.226,0.589,0.033,0.054,0.579,0.009,0.091,0.195
101,40.0,0.0,158.0,71.0,24.0,107.0,145.0,3.0,0.645,0.0,0.868,0.959,0.421,0.991,0.942,0.073
102,17.0,59.0,4.0,0.0,28.0,1.0,0.0,6.0,0.274,0.808,0.022,0.0,0.491,0.009,0.0,0.146
103,0.0,0.0,0.0,64.0,7.0,1.0,3.0,34.0,0.0,0.0,0.0,0.865,0.123,0.009,0.019,0.829
104,0.0,44.0,8.0,17.0,18.0,2.0,13.0,31.0,0.0,0.603,0.044,0.23,0.316,0.019,0.084,0.756
105,5.0,44.0,7.0,35.0,38.0,4.0,135.0,33.0,0.081,0.603,0.038,0.473,0.667,0.037,0.877,0.805
106,0.0,18.0,22.0,69.0,16.0,98.0,144.0,32.0,0.0,0.247,0.121,0.932,0.281,0.907,0.935,0.78
107,0.0,0.0,2.0,69.0,14.0,6.0,21.0,30.0,0.0,0.0,0.011,0.932,0.246,0.056,0.136,0.732
108,2.0,0.0,153.0,70.0,25.0,99.0,146.0,35.0,0.032,0.0,0.841,0.946,0.439,0.917,0.948,0.854
109,4.0,0.0,5.0,65.0,28.0,3.0,8.0,33.0,0.065,0.0,0.027,0.878,0.491,0.028,0.052,0.805
110,0.0,18.0,2.0,68.0,17.0,6.0,12.0,33.0,0.0,0.247,0.011,0.919,0.298,0.056,0.078,0.805
111,15.0,60.0,5.0,5.0,38.0,1.0,0.0,2.0,0.242,0.822,0.027,0.068,0.667,0.009,0.0,0.049
112,0.0,20.0,3.0,70.0,18.0,3.0,12.0,35.0,0.0,0.274,0.016,0.946,0.316,0.028,0.078,0.854
113,4.0,0.0,6.0,69.0,13.0,8.0,137.0,27.0,0.065,0.0,0.033,0.932,0.228,0.074,0.89,0.659
